seed,variant,mode,split,level,n,window_s,auroc,avg_precision,balanced_acc,accuracy,sensitivity,specificity,f1,cohen_kappa
2,mixed_300,frozen,test,window,4284,30.0,0.7462,0.854,0.6602,0.6013,0.5221,0.7982,0.6513,0.2474
2,mixed_300,frozen,test,subject,40,30.0,0.83,0.7632,0.725,0.725,0.55,0.9,0.6667,0.45
2,mixed_300,frozen,val,window,3986,30.0,0.5907,0.6872,0.5603,0.5612,0.5647,0.5558,0.6095,0.1159
2,mixed_300,frozen,val,subject,40,30.0,0.6075,0.6808,0.575,0.575,0.5,0.65,0.5405,0.15
2,mixed_300,full,test,window,4284,30.0,0.6714,0.8163,0.6129,0.6214,0.6327,0.5932,0.7044,0.1962
2,mixed_300,full,test,subject,40,30.0,0.7425,0.6909,0.675,0.675,0.75,0.6,0.6977,0.35
2,mixed_300,full,val,window,3986,30.0,0.5722,0.6859,0.5355,0.5615,0.6574,0.4136,0.6451,0.0718
2,mixed_300,full,val,subject,40,30.0,0.5525,0.6399,0.5,0.5,0.6,0.4,0.5455,0.0
3,reconstruction_only,frozen,test,window,4084,30.0,0.5368,0.7202,0.507,0.5754,0.6999,0.3141,0.6907,0.0142
3,reconstruction_only,frozen,test,subject,40,30.0,0.43,0.5306,0.525,0.525,0.9,0.15,0.6545,0.05
3,reconstruction_only,frozen,val,window,3964,30.0,0.6316,0.7614,0.5717,0.6319,0.7797,0.3636,0.732,0.1514
3,reconstruction_only,frozen,val,subject,40,30.0,0.6175,0.6416,0.575,0.575,0.8,0.35,0.6531,0.15
3,reconstruction_only,full,test,window,4084,30.0,0.6014,0.7605,0.5761,0.5764,0.577,0.5751,0.6485,0.1357
3,reconstruction_only,full,test,subject,40,30.0,0.6325,0.5955,0.65,0.65,0.6,0.7,0.6316,0.3
3,reconstruction_only,full,val,window,3964,30.0,0.6178,0.7494,0.5764,0.609,0.689,0.4638,0.6944,0.1518
3,reconstruction_only,full,val,subject,40,30.0,0.5925,0.6112,0.525,0.525,0.6,0.45,0.5581,0.05
3,lejepa_only_128,frozen,test,window,4084,30.0,0.5064,0.6815,0.5,0.6773,1.0,0.0,0.8076,0.0
3,lejepa_only_128,frozen,test,subject,40,30.0,0.51,0.5381,0.5,0.5,1.0,0.0,0.6667,0.0
3,lejepa_only_128,frozen,val,window,3964,30.0,0.5527,0.6778,0.5,0.6448,1.0,0.0,0.784,0.0
3,lejepa_only_128,frozen,val,subject,40,30.0,0.655,0.6542,0.5,0.5,1.0,0.0,0.6667,0.0
3,lejepa_only_128,full,test,window,4084,30.0,0.6048,0.7526,0.5599,0.6481,0.8087,0.3111,0.7569,0.1296
3,lejepa_only_128,full,test,subject,40,30.0,0.6,0.6345,0.6,0.6,1.0,0.2,0.7143,0.2
3,lejepa_only_128,full,val,window,3964,30.0,0.6603,0.7811,0.5749,0.6567,0.8572,0.2926,0.763,0.1666
3,lejepa_only_128,full,val,subject,40,30.0,0.68,0.7129,0.575,0.575,0.95,0.2,0.6909,0.15
3,mixed_128,frozen,test,window,4084,30.0,0.6281,0.7933,0.5672,0.6195,0.7148,0.4196,0.7179,0.1337
3,mixed_128,frozen,test,subject,40,30.0,0.64,0.6971,0.6,0.6,0.85,0.35,0.68,0.2
3,mixed_128,frozen,val,window,3964,30.0,0.6095,0.7505,0.559,0.6236,0.7821,0.3359,0.7282,0.1256
3,mixed_128,frozen,val,subject,40,30.0,0.6325,0.6754,0.625,0.625,0.9,0.35,0.7059,0.25
3,mixed_128,full,test,window,4084,30.0,0.613,0.7788,0.5529,0.6298,0.7697,0.3361,0.738,0.1111
3,mixed_128,full,test,subject,40,30.0,0.62,0.6742,0.525,0.525,0.85,0.2,0.6415,0.05
